id,datetime,total,street,city,state,zip,user_id,promo_code_id
1,2021-03-30 06:36:26,363.66,37914 Sutteridge Court,Washington,District of Columbia,20022,384,
2,2021-03-30 10:59:45,297.56,4213 Red Cloud Pass,Nashville,Tennessee,37210,392,
3,2021-03-30 19:47:03,104.13312000000002,9371 Eliot Circle,Richmond,Virginia,23220,399,72
4,2021-03-31 02:52:23,127.98,90480 Caliangt Hill,Washington,District of Columbia,20591,403,
5,2021-03-31 17:44:29,793.32162,47800 Pawling Avenue,Boston,Massachusetts,2163,280,50
6,2021-04-01 07:50:58,728.0307600000001,21 Kim Avenue,Ocala,Florida,34474,246,192
7,2021-04-01 14:55:38,3083.92,22300 Elmside Street,Washington,District of Columbia,20337,358,
8,2021-04-01 22:31:10,876.9000000000001,25 Pierstorff Place,New Orleans,Louisiana,70174,329,
9,2021-04-02 13:18:28,621.1800000000001,35654 Sloan Circle,Portland,Oregon,97232,162,
10,2021-04-03 04:11:05,2139.6800000000003,90480 Caliangt Hill,Washington,District of Columbia,20591,403,
11,2021-04-03 11:37:09,238.76,870 Forest Dale Hill,Levittown,Pennsylvania,19058,79,
12,2021-04-03 13:42:39,509.34000000000003,7277 Rutledge Circle,Manchester,New Hampshire,3105,14,
13,2021-04-04 03:28:48,144.47212000000002,518 Tony Pass,Pompano Beach,Florida,33075,136,21
14,2021-04-04 05:13:29,372.38322000000005,49417 High Crossing Parkway,Tacoma,Washington,98405,416,2
15,2021-04-04 18:00:29,473.88,9 Vernon Drive,Greensboro,North Carolina,27415,55,
16,2021-04-05 07:18:08,28.0,2 Golf View Place,Alhambra,California,91841,323,
17,2021-04-05 12:39:30,867.62,5 Kensington Park,Wichita,Kansas,67236,87,
18,2021-04-05 14:46:21,636.26,56985 Texas Plaza,Louisville,Kentucky,40225,70,
19,2021-04-05 17:12:41,470.46000000000004,529 Macpherson Park,Modesto,California,95354,303,
20,2021-04-06 03:41:56,125.64,9 Sullivan Hill,Odessa,Texas,79769,119,
21,2021-04-06 11:51:55,118.92000000000002,257 Veith Park,Watertown,Massachusetts,2472,334,
22,2021-04-06 23:53:57,57.02322000000001,80 Merrick Street,Oxnard,California,93034,76,175
23,2021-04-06 23:58:57,622.96,459 Old Shore Lane,Boise,Idaho,83711,141,
24,2021-04-07 07:32:09,273.76000000000005,4443 Maple Park,Lubbock,Texas,79410,238,
25,2021-04-07 15:50:10,608.82,4648 Jenifer Junction,Charlotte,North Carolina,28256,452,
26,2021-04-08 00:36:30,1384.0400000000002,61 Merchant Avenue,Saint Louis,Missouri,63158,156,
27,2021-04-08 10:40:49,191.77839999999998,0 Elmside Court,New York City,New York,10004,225,165
28,2021-04-08 23:16:02,81.53999999999999,17 Ronald Regan Terrace,Miami,Florida,33129,479,
29,2021-04-09 08:54:46,1325.5800000000002,805 Morrow Center,Stamford,Connecticut,6912,140,
30,2021-04-09 16:34:53,25.3492,13 Susan Drive,Ocala,Florida,34474,77,88
31,2021-04-09 23:06:21,4041.66,26385 Summit Point,Dayton,Ohio,45408,1,
32,2021-04-10 11:41:23,1639.06,44424 Towne Trail,El Paso,Texas,88574,195,
33,2021-04-10 16:23:10,983.6000000000003,56088 Graceland Street,Greensboro,North Carolina,27415,53,
34,2021-04-11 02:15:49,1253.36,639 Debs Crossing,Wichita,Kansas,67215,471,
35,2021-04-11 16:46:37,17.96,29038 3rd Pass,Long Beach,California,90810,337,
36,2021-04-12 02:55:53,618.1600000000001,58080 Brown Park,Baton Rouge,Louisiana,70826,455,
37,2021-04-12 06:27:51,373.9,7277 Rutledge Circle,Manchester,New Hampshire,3105,14,
38,2021-04-12 10:05:23,114.74000000000001,570 Grover Plaza,Houston,Texas,77293,422,
39,2021-04-12 17:00:01,375.62000000000006,85609 Springview Junction,Spokane,Washington,99220,152,
40,2021-04-13 00:56:24,581.92,47 Victoria Plaza,Grand Rapids,Michigan,49544,88,
41,2021-04-13 17:22:06,180.37080000000003,050 Glendale Park,Biloxi,Mississippi,39534,359,150
